Country,TotalUSD,Quantity,MediumTicket
Hungary,446.62,38,11.7531578947368
Ireland,446.62,38,11.7531578947368
Czech Republic,879.240000000001,76,11.5689473684211
Chile,415.62,38,10.9373684210526
Austria,404.62,38,10.6478947368421
Norway,362.62,38,9.54263157894738
USA,4667.05999999999,494,9.44748987854249
Netherlands,352.62,38,9.27947368421053
Finland,350.62,38,9.22684210526316
Germany,1392.48,152,9.16105263157896
France,1722.1,190,9.06368421052632
Portugal,687.24,76,9.04263157894737
India,667.280000000001,74,9.01729729729731
Sweden,340.62,38,8.96368421052632
Canada,2689.96,304,8.84855263157896
Brazil,1677.1,190,8.82684210526316
United Kingdom,1003.86,114,8.80578947368423
Argentina,334.62,38,8.80578947368422
Australia,334.62,38,8.80578947368422
Denmark,334.62,38,8.80578947368422
Italy,334.62,38,8.80578947368422
Belgium,334.62,38,8.80578947368422
Poland,334.62,38,8.80578947368421
Spain,334.62,38,8.80578947368421
